epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7311,2.07514,3.02225,1.85618,0.72213,0.22904,0.2344,0.16118,1.31188,3.70777,1.2852,0.000406977,0.000406977,0.000406977
2,22.9707,1.33046,1.62375,1.22354,0.96005,0.22046,0.23881,0.15151,1.37076,2.82264,1.43212,0.000815489,0.000815489,0.000815489
3,33.5326,1.30095,1.54292,1.26052,0.98316,0.20419,0.24274,0.15862,1.27288,10.8197,1.41406,0.00121575,0.00121575,0.00121575
4,44.1186,1.32643,1.41812,1.33375,0.94189,0.21894,0.29778,0.18113,1.2849,3.29649,1.44505,0.00121287,0.00121287,0.00121287
5,54.9113,1.24861,1.27449,1.30177,0.67123,0.45464,0.43948,0.27442,1.39413,1.94024,1.40262,0.0012005,0.0012005,0.0012005
6,66.2356,1.1726,1.15493,1.21162,0.76745,0.29438,0.42521,0.24059,1.67998,1.46245,1.44857,0.00118812,0.00118812,0.00118812
7,77.4119,1.09821,1.04334,1.16544,0.9877,0.2368,0.50158,0.30452,1.26094,1.40859,1.2581,0.00117575,0.00117575,0.00117575
8,88.3472,1.05345,0.98654,1.16165,0.61268,0.53099,0.5089,0.30839,1.37795,1.37704,1.28835,0.00116337,0.00116337,0.00116337
9,99.4521,1.08382,0.97252,1.17577,0.63014,0.54779,0.50006,0.30344,1.23777,1.09026,1.23925,0.001151,0.001151,0.001151
10,110.654,1.0532,0.88266,1.13071,0.96655,0.47593,0.55889,0.32318,1.17691,1.11483,1.22015,0.00113863,0.00113863,0.00113863
11,121.691,1.04232,0.86226,1.11289,0.94687,0.46291,0.52752,0.30076,1.27922,1.23705,1.21456,0.00112625,0.00112625,0.00112625
12,132.91,0.99622,0.82355,1.08688,0.91523,0.46894,0.54804,0.3153,1.26634,0.90705,1.17913,0.00111388,0.00111388,0.00111388
13,143.559,0.97478,0.83002,1.09174,0.72675,0.55541,0.54065,0.35811,1.19866,0.88215,1.18375,0.0011015,0.0011015,0.0011015
14,154.776,0.97167,0.79193,1.08265,0.67668,0.58448,0.54417,0.33581,1.23935,0.84193,1.18993,0.00108913,0.00108913,0.00108913
