epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.898,2.9799,5.95606,4.20383,0.00333,1,0.00638,0.00381,1.80195,4.80485,4.1605,0.0007,0.0007,0.0937
2,31.5842,2.99043,5.52268,4.18363,0.00333,1,0.00638,0.00381,1.79539,4.80814,4.16274,0.00149505,0.00149505,0.0864951
3,36.5552,3.26765,6.36922,4.18273,0.00333,1,0.0064,0.00379,1.79952,4.80855,4.16367,0.00228482,0.00228482,0.0792848
4,41.0877,3.29986,6.00629,4.20638,0.00333,1,0.0064,0.00379,1.79546,4.81476,4.16507,0.00306931,0.00306931,0.0720693
5,45.6595,3.14028,5.87314,4.21462,0.00333,1,0.00613,0.0036,1.7952,4.81523,4.16657,0.00384852,0.00384852,0.0648485
6,50.2624,3.05663,6.28293,4.18199,0.00333,1,0.0064,0.00379,1.79553,4.81594,4.16734,0.00462245,0.00462245,0.0576225
7,54.8079,2.72754,5.2399,4.18855,0.00333,1,0.00621,0.00407,1.7955,4.81411,4.1691,0.0053911,0.0053911,0.0503911
8,59.6584,2.98067,5.84272,4.19805,0.00333,1,0.00509,0.00291,1.79403,4.82067,4.16908,0.00615447,0.00615447,0.0431545
9,64.2611,2.90199,5.98687,4.21223,0.00333,1,0.00506,0.00293,1.79242,4.82156,4.16934,0.00691256,0.00691256,0.0359126
10,68.9864,2.92028,5.55539,4.20865,0.00333,1,0.00493,0.0028,1.79268,4.8211,4.16936,0.00766537,0.00766537,0.0286654
11,73.727,2.95777,5.91665,4.20286,0.00333,1,0.00593,0.00311,1.78525,4.82707,4.17059,0.0084129,0.0084129,0.0214129
12,78.4294,2.90184,5.91842,4.19577,0.00333,1,0.00555,0.00297,1.78327,4.82668,4.17085,0.00915515,0.00915515,0.0141552
13,83.1383,2.98723,5.38205,4.21395,0.00333,1,0.006,0.00321,1.77799,4.82759,4.17082,0.009604,0.009604,0.009604
14,87.9463,3.1088,5.21206,4.21048,0.00333,1,0.00555,0.00299,1.7724,4.83303,4.17107,0.009571,0.009571,0.009571
15,92.7322,2.79743,5.6091,4.22847,0.00333,1,0.00591,0.00314,1.7679,4.83858,4.17023,0.009538,0.009538,0.009538
16,97.6351,3.08108,5.39158,4.17188,0.00333,1,0.00995,0.00447,1.76646,4.84112,4.16961,0.009505,0.009505,0.009505
17,102.651,2.8385,5.04079,4.22711,0.00333,1,0.00992,0.00434,1.76592,4.84204,4.16848,0.009472,0.009472,0.009472
18,107.447,3.12008,4.79975,4.18246,0.00333,1,0.04625,0.02613,1.77329,4.80186,4.16072,0.009439,0.009439,0.009439
19,112.627,2.81472,5.59576,4.15689,0.00333,1,0.01213,0.0057,1.85448,4.79592,4.35468,0.009406,0.009406,0.009406
20,117.402,2.86416,5.21606,4.14819,0.00286,0.85714,0.00726,0.00342,1.92956,4.83973,5.4642,0.009373,0.009373,0.009373
21,122.148,3.11573,5.05264,4.1418,0.00238,0.71429,0.00883,0.00253,2.13078,4.63189,7.83331,0.00934,0.00934,0.00934
22,126.904,3.01034,5.33704,4.13734,0.00048,0.14286,0.00126,0.00046,2.64079,5.03625,11.0091,0.009307,0.009307,0.009307
23,131.595,3.18245,5.25514,4.13253,0,0,0,0,2.84143,6.44556,14.8142,0.009274,0.009274,0.009274
24,136.268,2.80466,4.60456,4.11111,0,0,0,0,3.20531,8.2347,20.0096,0.009241,0.009241,0.009241
25,141.033,2.91079,4.88065,4.12381,0,0,0,0,3.91133,8.79853,22.8274,0.009208,0.009208,0.009208
26,145.747,2.957,4.18042,4.11779,0,0,0,0,4.05051,8.37743,22.6809,0.009175,0.009175,0.009175
27,150.421,2.89581,4.21711,4.12394,0,0,0,0,4.07395,7.90418,26.4119,0.009142,0.009142,0.009142
28,155.101,2.83582,4.16183,4.08011,0,0,0,0,3.33715,6.2089,28.602,0.009109,0.009109,0.009109
29,159.809,2.98752,3.99713,4.08143,0,0,0,0,3.34443,6.54866,30.3144,0.009076,0.009076,0.009076
30,164.586,3.29972,4.28604,4.10047,0,0,0,0,3.60226,7.5725,30.881,0.009043,0.009043,0.009043
31,169.343,2.83511,3.77857,4.04683,0,0,0,0,3.53116,7.81551,20.6793,0.00901,0.00901,0.00901
32,174.045,2.97074,3.81133,4.04596,0,0,0,0,3.7696,6.67589,28.4848,0.008977,0.008977,0.008977
33,178.812,2.85877,3.71034,4.05565,0,0,0,0,3.50107,7.5822,25.0946,0.008944,0.008944,0.008944
34,183.52,2.88457,3.66582,3.9925,0,0,0,0,3.13045,7.66261,24.4729,0.008911,0.008911,0.008911
35,188.314,2.74546,3.47437,3.95891,0,0,0,0,3.70943,6.97696,26.0808,0.008878,0.008878,0.008878
36,193.035,2.67843,3.44729,3.9745,0,0,0,0,3.94027,7.02621,23.5972,0.008845,0.008845,0.008845
37,197.776,2.88322,3.27409,3.91496,0,0,0,0,3.65951,7.11867,19.1751,0.008812,0.008812,0.008812
38,202.585,2.6372,3.29894,3.81621,0,0,0,0,3.19583,7.71208,18.4536,0.008779,0.008779,0.008779
39,207.328,2.57843,3.17647,3.72229,0,0,0,0,3.89443,7.57483,29.0776,0.008746,0.008746,0.008746
40,211.954,2.62668,3.25982,3.80138,0,0,0,0,3.48595,7.23447,23.2925,0.008713,0.008713,0.008713
41,216.613,2.44851,3.24931,3.73651,0,0,0,0,3.51627,7.17171,19.083,0.00868,0.00868,0.00868
42,221.379,2.80462,2.93723,3.66673,0,0,0,0,3.27356,6.45167,15.2204,0.008647,0.008647,0.008647
43,226.199,2.38781,3.1718,3.46386,0,0,0,0,3.00147,5.84497,11.5124,0.008614,0.008614,0.008614
44,230.975,2.55414,3.0782,3.45336,0,0,0,0,2.70104,4.6359,8.15139,0.008581,0.008581,0.008581
