epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.43575,4.06381,13.6577,3.31477,0,0,0,0,3.74132,5.53322,2.97309,0.0874,0.0014,0.0014
2,8.27509,3.97812,11.7335,3.32028,0.00028,0.02083,0.00016,6e-05,3.96183,6.48688,3.23173,0.0738904,0.00289043,0.00289043
3,12.525,3.36059,6.9807,2.60457,0.00151,0.09186,0.001,0.00035,3.19327,6.76141,2.39298,0.060371,0.00437096,0.00437096
4,17.0624,2.54728,3.95565,1.84801,0.62124,0.42961,0.32632,0.19988,1.48289,5.11958,1.24825,0.0468416,0.00584159,0.00584159
5,21.591,1.6917,4.13435,1.39413,0.00669,0.3689,0.01035,0.00252,1.46572,3.96925,1.38499,0.0333023,0.00730232,0.00730232
6,25.4572,1.497,3.56553,1.39131,0.50804,0.48074,0.39098,0.20943,1.46115,2.51017,1.41249,0.0197531,0.00875315,0.00875315
7,29.5582,1.47092,2.77049,1.33936,0.71091,0.36111,0.33532,0.1868,1.22002,3.34504,1.12019,0.009802,0.009802,0.009802
8,33.731,1.33776,3.38706,1.14484,0.62993,0.20374,0.34559,0.19407,1.40346,3.00531,1.39659,0.009769,0.009769,0.009769
9,37.8403,1.35148,3.51711,1.23197,0.14679,0.66667,0.35007,0.25297,1.17572,22.7065,1.26512,0.009736,0.009736,0.009736
10,42.3054,1.21463,10.0154,1.21729,0.60696,0.5926,0.70323,0.42449,1.24078,1.98359,1.07154,0.009703,0.009703,0.009703
11,46.4744,1.28123,2.33799,1.10269,0.60696,0.5926,0.70323,0.42449,1.24078,1.98359,1.07154,0.00967,0.00967,0.00967
12,50.6525,1.36111,3.59032,1.04158,0.48552,0.7943,0.67512,0.3457,1.3724,2.97683,1.02292,0.009637,0.009637,0.009637
13,54.5722,1.43482,3.49514,1.2779,0.48971,0.43875,0.29548,0.12429,1.56799,3.58073,1.38708,0.009604,0.009604,0.009604
14,58.6599,1.2712,2.44219,1.22585,0.57578,0.74071,0.72255,0.45388,1.15228,2.57378,1.21642,0.009571,0.009571,0.009571
15,62.8386,1.25441,2.32066,1.18091,0.62909,0.47897,0.73513,0.41196,1.20133,2.33219,1.18089,0.009538,0.009538,0.009538
16,66.9328,1.24969,2.12418,1.19658,0.98706,0.32323,0.90109,0.56523,1.26898,1.85222,1.22861,0.009505,0.009505,0.009505
17,70.9171,1.2631,2.82412,1.22969,0.65328,0.79717,0.94943,0.55588,1.14211,4.1963,1.19087,0.009472,0.009472,0.009472
18,75.1174,1.26144,2.58164,1.18045,0.92385,0.59927,0.95411,0.58205,1.14167,1.5569,1.1441,0.009439,0.009439,0.009439
19,79.2068,1.2271,1.8191,1.12736,0.57382,0.87678,0.96266,0.59987,1.33449,1.37075,1.18677,0.009406,0.009406,0.009406
20,83.4257,1.2175,1.54406,1.14523,0.91414,0.78866,0.96877,0.67248,1.02992,1.11535,1.10682,0.009373,0.009373,0.009373
21,87.8679,1.15264,1.34551,1.14159,0.77855,0.89385,0.92054,0.53494,1.28285,1.85122,1.22539,0.00934,0.00934,0.00934
22,91.9159,1.25471,1.44681,1.165,0.86183,0.88212,0.96298,0.65267,1.10522,0.98994,1.01567,0.009307,0.009307,0.009307
23,95.8852,1.14487,1.21114,1.03459,0.69215,0.84954,0.88311,0.48167,1.30992,1.61719,1.10541,0.009274,0.009274,0.009274
24,100.076,1.31518,1.22129,1.09909,0.85123,0.87731,0.94345,0.64685,0.9952,0.91017,1.06462,0.009241,0.009241,0.009241
25,104.38,1.02216,1.12643,1.09438,0.62549,0.9098,0.95531,0.59357,1.19123,3.02862,1.15685,0.009208,0.009208,0.009208
26,108.4,1.111,4.3516,1.14997,0.91611,0.92333,0.97089,0.60104,1.24904,0.84076,1.18498,0.009175,0.009175,0.009175
27,112.366,1.18406,0.91892,1.15453,0.91611,0.92333,0.97089,0.60104,1.24904,0.84076,1.18498,0.009142,0.009142,0.009142
28,116.469,1.11095,0.80135,1.15443,0.95438,0.96903,0.98123,0.68347,1.00851,0.87108,1.13099,0.009109,0.009109,0.009109
29,120.428,1.02081,0.85907,1.13613,0.90715,0.86515,0.97142,0.65355,1.12146,0.8092,1.18105,0.009076,0.009076,0.009076
30,124.507,1.0369,0.74037,1.1206,0.84469,0.969,0.9836,0.67833,1.02088,0.93466,1.14353,0.009043,0.009043,0.009043
31,128.577,1.12306,0.76635,1.07981,0.98377,0.97073,0.98472,0.66723,1.1245,0.6241,1.09195,0.00901,0.00901,0.00901
32,132.858,1.06797,0.6838,1.09744,0.96971,0.98148,0.98515,0.70118,0.97042,0.62765,1.07174,0.008977,0.008977,0.008977
33,137.032,1.14819,0.63509,1.15618,0.98047,0.97447,0.98833,0.63146,1.2115,0.69418,1.20769,0.008944,0.008944,0.008944
34,141.032,1.07926,0.60135,1.125,0.95226,0.98148,0.98565,0.71081,0.97439,0.60511,1.07284,0.008911,0.008911,0.008911
35,145.333,1.05689,0.55834,1.13104,0.96978,0.98101,0.98583,0.65005,1.13141,0.62995,1.20665,0.008878,0.008878,0.008878
36,149.338,1.12178,0.56828,1.16354,0.97139,0.98148,0.98987,0.70342,1.00916,0.57796,1.08088,0.008845,0.008845,0.008845
37,153.562,1.02989,0.55051,1.11102,0.97245,0.97554,0.99033,0.69476,1.0607,0.59619,1.09856,0.008812,0.008812,0.008812
38,157.491,1.09275,0.57355,1.12451,0.95343,0.98148,0.99027,0.67709,1.01765,0.57326,1.08752,0.008779,0.008779,0.008779
39,161.29,1.02763,0.57903,1.08783,0.9806,0.95857,0.99027,0.70015,0.96148,0.5466,1.07337,0.008746,0.008746,0.008746
40,165.215,0.96987,0.5416,1.05717,0.94902,0.97382,0.98972,0.69689,0.92753,0.58609,1.06511,0.008713,0.008713,0.008713
41,169.01,1.03221,0.56842,1.0841,0.98331,0.94444,0.98829,0.6902,0.97835,0.55371,1.08143,0.00868,0.00868,0.00868
42,172.81,0.95951,0.5081,1.0747,0.9932,0.94444,0.98697,0.71283,0.97118,0.54069,1.0708,0.008647,0.008647,0.008647
43,176.806,0.96509,0.54807,1.0714,0.9932,0.94444,0.98697,0.71283,0.97118,0.54069,1.0708,0.008614,0.008614,0.008614
44,181.003,0.90388,0.51869,1.0647,0.98717,0.94444,0.98697,0.74874,0.85204,0.54385,1.03429,0.008581,0.008581,0.008581
45,185.19,0.92417,0.52867,1.03146,0.96825,0.98148,0.98993,0.72565,0.95468,0.48644,1.04559,0.008548,0.008548,0.008548
46,189.368,0.9561,0.49712,1.04042,0.97907,0.97564,0.99262,0.69607,0.92693,0.50988,1.03307,0.008515,0.008515,0.008515
47,193.328,0.90561,0.48982,1.04145,0.96382,0.97883,0.9913,0.7263,0.91844,0.50755,1.03478,0.008482,0.008482,0.008482
48,197.122,0.96283,0.50237,1.0654,0.98218,1,0.995,0.72476,0.90577,0.50392,1.04731,0.008449,0.008449,0.008449
49,201.024,0.93263,0.48413,1.04224,0.98083,1,0.995,0.72562,0.88314,0.4978,1.04293,0.008416,0.008416,0.008416
50,204.829,0.87707,0.49041,1.05767,0.98007,1,0.995,0.75686,0.84017,0.47342,1.01778,0.008383,0.008383,0.008383
51,208.725,0.87206,0.51967,1.02671,0.98411,1,0.995,0.71838,0.90919,0.50389,1.05009,0.00835,0.00835,0.00835
52,212.648,0.87407,0.49509,1.03315,0.99116,1,0.995,0.76828,0.79409,0.42742,1.00182,0.008317,0.008317,0.008317
53,216.721,0.91387,0.44999,1.0461,0.98364,1,0.995,0.68428,1.05079,0.4881,1.06957,0.008284,0.008284,0.008284
54,220.517,0.93179,0.45754,1.00941,0.9916,1,0.995,0.77076,0.80711,0.42156,1.00288,0.008251,0.008251,0.008251
55,224.534,0.84175,0.43788,0.99896,0.98185,1,0.995,0.7134,0.98452,0.49787,1.05095,0.008218,0.008218,0.008218
56,228.571,0.94455,0.48307,1.03867,0.99372,1,0.995,0.75942,0.82061,0.4347,1.00547,0.008185,0.008185,0.008185
57,232.562,0.87293,0.44571,1.01741,0.98564,1,0.995,0.73245,0.95761,0.47243,1.04839,0.008152,0.008152,0.008152
58,236.71,0.88711,0.44009,1.02198,0.9923,1,0.995,0.76354,0.83619,0.4314,1.00847,0.008119,0.008119,0.008119
