epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.13321,4.12809,13.9254,3.38763,0,0,0,0,3.7751,5.52735,2.97887,0.0874,0.0014,0.0014
2,9.03914,3.95055,11.053,3.2685,0,0,0,0,4.15646,6.05111,3.39904,0.0738904,0.00289043,0.00289043
3,13.1441,3.18364,6.0357,2.3947,0.09761,0.05736,0.02318,0.00583,3.09815,5.84238,2.07375,0.060371,0.00437096,0.00437096
4,17.3306,2.34474,3.59457,1.7871,0.40479,0.07965,0.06187,0.02465,1.95703,3.63449,1.55545,0.0468416,0.00584159,0.00584159
5,21.7994,1.60004,3.81556,1.42235,0.52119,0.33996,0.23106,0.12227,1.75759,3.87487,1.59962,0.0333023,0.00730232,0.00730232
6,25.9101,1.42613,4.22087,1.37628,0.00723,0.4456,0.17157,0.07571,1.76834,3.60919,1.587,0.0197531,0.00875315,0.00875315
7,30.0138,1.62999,3.50399,1.40667,0.74519,0.38495,0.42308,0.26862,1.50779,2.03331,1.46537,0.009802,0.009802,0.009802
8,34.2179,1.33869,2.78499,1.33032,0.79104,0.17708,0.1647,0.11078,1.26874,3.33332,1.44129,0.009769,0.009769,0.009769
9,38.2047,1.21276,3.87159,1.3544,0.16303,0.75084,0.35432,0.1809,1.36071,13.9318,1.54203,0.009736,0.009736,0.009736
10,42.0065,1.29522,10.7448,1.4355,0.6655,0.16667,0.24319,0.10872,1.40731,3.25474,1.4185,0.009703,0.009703,0.009703
11,45.9547,1.32365,3.21093,1.34114,0.6655,0.16667,0.24319,0.10872,1.40731,3.25474,1.4185,0.00967,0.00967,0.00967
12,49.8514,1.37186,6.40977,1.46549,0.2266,0.78356,0.40926,0.19109,1.34341,12.3252,1.47988,0.009637,0.009637,0.009637
13,53.6586,1.42679,3.0333,1.33708,0.47379,0.35269,0.5302,0.31447,1.32689,2.28887,1.2824,0.009604,0.009604,0.009604
14,57.7038,1.42759,3.14082,1.31619,0.39445,0.68803,0.45616,0.21434,1.46488,5.46458,1.39527,0.009571,0.009571,0.009571
15,61.517,1.24044,2.95196,1.4027,0.69651,0.22465,0.52721,0.30001,1.28046,2.4511,1.50278,0.009538,0.009538,0.009538
16,65.3094,1.24228,2.31506,1.50809,0.86406,0.24206,0.52855,0.28607,1.30644,2.4465,1.62301,0.009505,0.009505,0.009505
17,69.256,1.13555,2.2533,1.43616,0.27078,0.57992,0.50693,0.30816,1.08378,2.82477,1.37042,0.009472,0.009472,0.009472
18,73.2328,1.22411,2.17071,1.37213,0.78639,0.53199,0.77583,0.38627,1.39791,2.12408,1.51664,0.009439,0.009439,0.009439
19,77.4324,1.27121,1.85598,1.41351,0.55757,0.59976,0.77564,0.47395,1.22024,1.57008,1.46398,0.009406,0.009406,0.009406
20,81.7162,1.18805,1.62112,1.48705,0.84196,0.56928,0.79585,0.46337,1.24536,1.57328,1.85006,0.009373,0.009373,0.009373
