epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.11088,0.85961,0.38915,1.06845,0.97314,0.9807,0.98121,0.69325,0.97453,0.38293,1.1407,0.08614,0.00014,0.00014
2,9.22286,0.81713,0.35293,1.08777,0.9899,0.99873,0.995,0.71782,0.93136,0.36517,1.11403,0.0712878,0.000287825,0.000287825
3,13.3577,0.79675,0.34279,1.05696,0.9889,0.99871,0.995,0.73737,0.89023,0.35474,1.09026,0.0564334,0.0004334,0.0004334
4,17.437,0.73019,0.31848,1.01255,0.9877,0.9985,0.995,0.77112,0.83284,0.35031,1.06032,0.0415767,0.000576725,0.000576725
5,21.3828,0.71488,0.31906,0.99983,0.98699,0.99837,0.995,0.78967,0.79714,0.34615,1.04066,0.0267178,0.0007178,0.0007178
6,25.2768,0.6809,0.32515,0.99003,0.98594,0.99815,0.995,0.79107,0.75802,0.34251,1.02211,0.0118566,0.000856625,0.000856625
7,29.17,0.69255,0.33323,0.95809,0.9874,0.99869,0.995,0.78206,0.75331,0.33262,1.01574,0.000955,0.000955,0.000955
8,33.0567,0.65969,0.32241,0.95658,0.98656,0.99833,0.995,0.77079,0.7699,0.33584,1.01668,0.0009475,0.0009475,0.0009475
9,36.8707,0.65871,0.32005,0.92783,0.98575,0.99774,0.995,0.75665,0.77866,0.33542,1.01755,0.00094,0.00094,0.00094
10,40.6769,0.66103,0.31909,0.94257,0.98941,0.98148,0.99333,0.76449,0.75882,0.33501,1.00743,0.0009325,0.0009325,0.0009325
11,44.4811,0.63717,0.31172,0.91438,0.98941,0.98148,0.99333,0.76449,0.75882,0.33501,1.00743,0.000925,0.000925,0.000925
12,48.2811,0.63688,0.31056,0.93508,0.99152,0.98148,0.99333,0.77417,0.73751,0.33191,0.99937,0.0009175,0.0009175,0.0009175
13,52.0505,0.61797,0.30581,0.9305,0.99182,0.98148,0.99333,0.7875,0.72603,0.32649,0.99282,0.00091,0.00091,0.00091
14,55.8629,0.61759,0.30728,0.91351,0.99359,0.98148,0.99262,0.7941,0.72394,0.32628,0.99186,0.0009025,0.0009025,0.0009025
15,59.8753,0.6001,0.29818,0.92649,0.99391,0.98148,0.99333,0.79986,0.72325,0.31754,0.98995,0.000895,0.000895,0.000895
16,64.1266,0.59776,0.29864,0.91623,0.99364,0.98148,0.99412,0.80023,0.72203,0.31764,0.99022,0.0008875,0.0008875,0.0008875
17,68.1867,0.59031,0.29147,0.90679,0.9939,0.98148,0.99412,0.80542,0.71951,0.31165,0.98938,0.00088,0.00088,0.00088
18,72.3195,0.58216,0.28771,0.91817,0.99383,0.98148,0.99412,0.80899,0.71138,0.30753,0.98788,0.0008725,0.0008725,0.0008725
19,76.395,0.57699,0.28535,0.90063,0.99271,0.98148,0.99412,0.80754,0.70289,0.30333,0.98463,0.000865,0.000865,0.000865
20,80.3746,0.57815,0.28128,0.90705,0.99159,0.98148,0.99412,0.81626,0.70096,0.30816,0.98113,0.0008575,0.0008575,0.0008575
21,84.5218,0.56165,0.28479,0.87889,0.99373,0.98148,0.99412,0.82115,0.69658,0.30934,0.98054,0.00085,0.00085,0.00085
22,88.5188,0.54153,0.27908,0.87908,0.99255,0.98148,0.99412,0.82867,0.6863,0.30532,0.97796,0.0008425,0.0008425,0.0008425
23,92.4393,0.54036,0.28632,0.90209,0.9935,0.98148,0.99412,0.82237,0.68584,0.31006,0.97843,0.000835,0.000835,0.000835
24,96.2725,0.53845,0.27888,0.8921,0.99467,0.98148,0.99412,0.82035,0.6838,0.30894,0.9758,0.0008275,0.0008275,0.0008275
25,100.086,0.54491,0.27802,0.88571,0.98949,0.99755,0.995,0.82562,0.68926,0.30885,0.97668,0.00082,0.00082,0.00082
26,103.892,0.54496,0.28232,0.9004,0.98701,0.99744,0.995,0.8267,0.68795,0.30848,0.97401,0.0008125,0.0008125,0.0008125
27,107.728,0.52863,0.27646,0.89645,0.98701,0.99744,0.995,0.8267,0.68795,0.30848,0.97401,0.000805,0.000805,0.000805
28,111.522,0.52517,0.27439,0.87951,0.98557,0.99775,0.995,0.83643,0.67952,0.29958,0.96994,0.0007975,0.0007975,0.0007975
29,115.412,0.53865,0.27826,0.89173,0.98487,0.99795,0.995,0.84006,0.6723,0.29912,0.96927,0.00079,0.00079,0.00079
30,119.413,0.5171,0.27457,0.87665,0.98352,0.99782,0.995,0.847,0.66941,0.30184,0.96742,0.0007825,0.0007825,0.0007825
31,123.726,0.53704,0.27623,0.87072,0.98299,0.9977,0.995,0.84432,0.66965,0.30084,0.96858,0.000775,0.000775,0.000775
32,127.71,0.51352,0.266,0.87228,0.98366,0.99791,0.995,0.84417,0.66362,0.29824,0.96587,0.0007675,0.0007675,0.0007675
33,131.696,0.48643,0.2655,0.87151,0.98227,0.99757,0.995,0.84545,0.66388,0.29917,0.96586,0.00076,0.00076,0.00076
34,135.702,0.5241,0.2755,0.88062,0.98204,0.99706,0.995,0.84343,0.66722,0.29617,0.96682,0.0007525,0.0007525,0.0007525
35,139.685,0.50781,0.26039,0.87915,0.98213,0.99714,0.995,0.84134,0.67414,0.30186,0.96981,0.000745,0.000745,0.000745
36,143.837,0.51161,0.27083,0.88454,0.98208,0.99726,0.995,0.83622,0.67343,0.30085,0.97033,0.0007375,0.0007375,0.0007375
37,148.058,0.49924,0.26946,0.87081,0.98274,0.99791,0.995,0.8404,0.67099,0.29732,0.97152,0.00073,0.00073,0.00073
38,152.363,0.49362,0.26128,0.86988,0.98276,0.99798,0.995,0.84126,0.66998,0.29751,0.9712,0.0007225,0.0007225,0.0007225
39,156.192,0.48962,0.25941,0.87705,0.98221,0.99813,0.995,0.83959,0.66805,0.29734,0.9713,0.000715,0.000715,0.000715
40,159.998,0.47986,0.2533,0.84719,0.9824,0.99822,0.995,0.84189,0.67171,0.29713,0.97403,0.0007075,0.0007075,0.0007075
41,163.914,0.48331,0.25999,0.85698,0.98263,0.99828,0.995,0.84174,0.66607,0.29299,0.97048,0.0007,0.0007,0.0007
42,167.955,0.48662,0.2654,0.86705,0.98265,0.9984,0.995,0.84739,0.66132,0.29733,0.97029,0.0006925,0.0006925,0.0006925
43,172.034,0.48339,0.25923,0.87188,0.98265,0.9984,0.995,0.84739,0.66132,0.29733,0.97029,0.000685,0.000685,0.000685
44,175.965,0.47309,0.25526,0.85975,0.98277,0.99845,0.995,0.8431,0.66048,0.29756,0.97027,0.0006775,0.0006775,0.0006775
45,179.765,0.46119,0.25083,0.85224,0.98377,0.99842,0.995,0.84308,0.66731,0.29581,0.97289,0.00067,0.00067,0.00067
46,183.586,0.45767,0.24753,0.8595,0.98471,0.99846,0.995,0.85309,0.66531,0.30311,0.96982,0.0006625,0.0006625,0.0006625
47,187.486,0.45535,0.25076,0.85833,0.98636,0.99846,0.995,0.84873,0.6686,0.29779,0.97092,0.000655,0.000655,0.000655
48,191.479,0.4593,0.24373,0.84819,0.98788,0.99848,0.995,0.84073,0.67521,0.29719,0.97461,0.0006475,0.0006475,0.0006475
49,195.339,0.45309,0.24867,0.8515,0.98836,0.99852,0.995,0.84655,0.67246,0.29965,0.97414,0.00064,0.00064,0.00064
50,199.267,0.44843,0.25612,0.85904,0.98885,0.99854,0.995,0.84677,0.6759,0.29962,0.9781,0.0006325,0.0006325,0.0006325
51,203.087,0.44455,0.24486,0.85058,0.99088,0.9988,0.995,0.84156,0.68373,0.2949,0.98304,0.000625,0.000625,0.000625
52,206.877,0.44859,0.24267,0.85613,0.99251,0.99915,0.995,0.84391,0.68098,0.29296,0.98095,0.0006175,0.0006175,0.0006175
53,210.707,0.45611,0.24897,0.86345,0.99431,0.99993,0.995,0.84187,0.68482,0.29319,0.98306,0.00061,0.00061,0.00061
54,214.525,0.43317,0.24346,0.83725,0.99453,1,0.995,0.8443,0.69895,0.29627,0.98762,0.0006025,0.0006025,0.0006025
55,218.328,0.45154,0.24761,0.84064,0.99553,1,0.995,0.84214,0.69321,0.29303,0.98666,0.000595,0.000595,0.000595
