epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54012,2.00457,3.02107,1.94901,0.00351,1,0.67603,0.29362,1.17665,2.77352,1.51977,0.00036,0.00036,0.00036
2,4.06715,1.03175,1.56337,1.19994,1,0.48636,0.86808,0.47716,1.20105,2.4094,1.77209,0.000732674,0.000732674,0.000732674
3,5.52424,1.03779,1.27801,1.19685,0.46271,0.66667,0.54193,0.26812,1.28102,2.42181,1.55013,0.00109782,0.00109782,0.00109782
4,6.9565,0.96872,1.18108,1.14802,0.50575,0.79487,0.60299,0.23712,1.65188,2.41116,2.04422,0.00145545,0.00145545,0.00145545
5,8.36411,0.91576,1.0961,1.1323,0.10258,0.48718,0.06971,0.02336,2.43743,5.26393,2.59027,0.00180555,0.00180555,0.00180555
6,9.7146,0.94884,1.03331,1.13984,0.47465,0.58974,0.51673,0.37049,1.22629,2.2018,1.58712,0.001901,0.001901,0.001901
7,11.1095,0.93571,0.97783,1.13967,0.94443,0.87152,0.92412,0.66688,1.0489,1.09581,1.49468,0.0018812,0.0018812,0.0018812
8,12.5059,0.95757,1.00012,1.14727,0.7074,0.71795,0.73759,0.4484,1.4836,1.82009,1.90388,0.0018614,0.0018614,0.0018614
9,13.9148,0.94676,0.94338,1.09655,0.89135,0.82051,0.90202,0.634,1.13637,1.38202,1.60192,0.0018416,0.0018416,0.0018416
10,15.2559,0.89734,0.85854,1.10435,0.5615,0.64103,0.60021,0.36102,1.41727,1.79634,1.83348,0.0018218,0.0018218,0.0018218
11,16.611,0.87831,0.83121,1.07532,0.78216,0.71795,0.85637,0.55659,1.06834,1.53434,1.4961,0.001802,0.001802,0.001802
12,18.0743,0.90434,0.78949,1.09325,0.97485,0.99398,0.98425,0.78277,0.87298,0.7637,1.33431,0.0017822,0.0017822,0.0017822
13,19.458,0.88844,0.75519,1.0765,0.99758,0.97436,0.99402,0.76696,1.00222,0.70076,1.34135,0.0017624,0.0017624,0.0017624
14,20.8397,0.86189,0.72599,1.05541,0.95095,0.99441,0.98672,0.754,0.92274,0.75701,1.25082,0.0017426,0.0017426,0.0017426
15,22.1902,0.81834,0.71243,1.08267,1,0.99631,0.995,0.81189,0.74749,0.6084,1.13834,0.0017228,0.0017228,0.0017228
16,23.5659,0.84234,0.70501,1.05784,0.99617,0.94872,0.9928,0.76738,0.80764,0.6096,1.19972,0.001703,0.001703,0.001703
17,24.9045,0.76573,0.64314,1.01253,1,0.99543,0.995,0.79361,0.8024,0.57143,1.22453,0.0016832,0.0016832,0.0016832
18,26.2295,0.80375,0.63671,1.04148,0.99717,1,0.995,0.81918,0.70444,0.51207,1.17579,0.0016634,0.0016634,0.0016634
19,27.5847,0.76854,0.62157,1.03343,0.99334,1,0.995,0.81687,0.784,0.57,1.1856,0.0016436,0.0016436,0.0016436
20,28.9306,0.77627,0.60974,1.03952,0.99776,1,0.995,0.82869,0.73581,0.54919,1.15681,0.0016238,0.0016238,0.0016238
21,30.2528,0.83234,0.62722,1.04706,0.95288,1,0.99375,0.78599,0.80564,0.55556,1.17888,0.001604,0.001604,0.001604
22,31.5778,0.73833,0.58411,1.03022,0.99663,1,0.995,0.84607,0.66073,0.55754,1.10064,0.0015842,0.0015842,0.0015842
23,32.9378,0.75014,0.58171,1.03253,0.99237,1,0.995,0.83943,0.70301,0.6114,1.11396,0.0015644,0.0015644,0.0015644
24,34.2568,0.74401,0.55516,1.03661,0.99707,1,0.995,0.80793,0.78001,0.51967,1.19903,0.0015446,0.0015446,0.0015446
25,35.6035,0.74172,0.57371,1.03105,0.99821,1,0.995,0.8063,0.78019,0.46371,1.24818,0.0015248,0.0015248,0.0015248
26,36.9226,0.71793,0.5652,1.02683,0.99802,1,0.995,0.82325,0.75385,0.48024,1.17571,0.001505,0.001505,0.001505
27,38.2873,0.71232,0.55991,1.00862,0.99703,1,0.995,0.81986,0.77861,0.50586,1.17299,0.0014852,0.0014852,0.0014852
28,39.6258,0.70863,0.51554,1.01317,0.99962,1,0.995,0.82915,0.74457,0.45859,1.17583,0.0014654,0.0014654,0.0014654
