epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8524,2.23562,4.88392,2.56374,0.0095,0.64103,0.00911,0.00345,2.23038,57.7125,2.8887,0.000657778,0.000657778,0.000657778
2,21.5851,2.03546,2.56187,2.3356,0,0,0,0,6.30323,52.4638,59.7904,0.0013157,0.0013157,0.0013157
3,31.8606,2.11417,2.26554,2.62551,0.01443,0.66667,0.01423,0.0036,2.71804,254.081,7.96336,0.00196483,0.00196483,0.00196483
4,42.6558,2.12158,2.34744,2.45339,0.00873,0.23077,0.00346,0.00075,4.11204,820.988,24.3778,0.0019604,0.0019604,0.0019604
5,53.8059,1.97373,2.20469,2.41236,0.02839,0.41026,0.03183,0.00815,2.44464,4.2885,2.39415,0.0019472,0.0019472,0.0019472
6,64.8602,1.85042,2.174,2.1952,0.01349,0.5641,0.0115,0.00219,3.41723,627.717,38.4476,0.001934,0.001934,0.001934
7,75.4528,1.75854,2.07214,2.16454,0.05933,0.25641,0.03996,0.00551,3.45042,13.408,4.4783,0.0019208,0.0019208,0.0019208
8,85.6845,1.63236,1.67897,2.02842,0.38337,0.53846,0.34676,0.10193,2.38329,2.0521,2.18633,0.0019076,0.0019076,0.0019076
9,96.3585,1.57991,1.52695,1.95725,0.68953,0.82051,0.68344,0.20758,2.28239,1.90518,1.9807,0.0018944,0.0018944,0.0018944
10,106.759,1.61735,1.36974,2.02484,0.39399,0.5641,0.44441,0.10128,2.80467,2.29371,2.82276,0.0018812,0.0018812,0.0018812
11,117.16,1.69098,1.38442,2.04619,0.58411,0.76923,0.75898,0.33249,1.93918,1.80113,1.59681,0.001868,0.001868,0.001868
12,127.807,1.50266,1.2968,1.90663,0.50887,0.77046,0.66025,0.18261,2.54449,1.77062,2.26203,0.0018548,0.0018548,0.0018548
13,138.146,1.49591,1.23535,1.92193,0.61403,0.8974,0.76995,0.22433,2.42929,1.65443,2.20444,0.0018416,0.0018416,0.0018416
14,148.332,1.46191,1.15053,1.83818,0.58727,1,0.80277,0.30045,2.21117,1.1685,1.99066,0.0018284,0.0018284,0.0018284
15,158.596,1.4911,1.11091,1.91444,0.65318,0.79487,0.8073,0.31092,2.16181,2.09223,1.87244,0.0018152,0.0018152,0.0018152
16,168.994,1.42118,1.08504,1.72605,0.7383,0.89744,0.84921,0.32895,2.16963,1.40205,1.88404,0.001802,0.001802,0.001802
17,179.425,1.38228,1.00499,1.74809,0.61841,0.79487,0.78759,0.37782,1.93488,1.23171,1.58109,0.0017888,0.0017888,0.0017888
18,189.807,1.41948,1.00295,1.74084,0.55881,0.82051,0.67152,0.24626,2.34235,1.53444,2.14633,0.0017756,0.0017756,0.0017756
19,200.185,1.358,0.94919,1.69581,0.60124,0.8893,0.82006,0.43438,1.73209,1.27277,1.43049,0.0017624,0.0017624,0.0017624
20,210.55,1.49148,1.07038,1.85762,0.43908,0.74267,0.53883,0.20778,2.40609,1.43436,2.14729,0.0017492,0.0017492,0.0017492
21,220.995,1.4445,1.02014,1.75546,0.6641,0.97436,0.82875,0.37365,2.01297,1.12863,1.71368,0.001736,0.001736,0.001736
22,231.564,1.22979,0.88603,1.68436,0.67265,0.87179,0.83636,0.36939,2.02332,1.11917,1.69412,0.0017228,0.0017228,0.0017228
23,241.875,1.39286,0.97296,1.73114,0.77947,0.81577,0.90148,0.39239,2.07619,0.97049,1.78866,0.0017096,0.0017096,0.0017096
24,252.052,1.34385,0.90539,1.65715,0.6336,0.89744,0.73115,0.34443,1.95426,1.23059,1.66958,0.0016964,0.0016964,0.0016964
25,262.228,1.3446,0.91334,1.66935,0.68017,0.97436,0.83433,0.42215,1.96637,0.94417,1.58641,0.0016832,0.0016832,0.0016832
26,272.397,1.34613,0.90571,1.66323,0.61791,0.97436,0.76518,0.34476,2.04251,1.10845,1.68817,0.00167,0.00167,0.00167
27,282.541,1.25385,0.88991,1.66697,0.6803,1,0.83213,0.3762,2.07624,0.95566,1.7459,0.0016568,0.0016568,0.0016568
28,292.849,1.24346,0.79818,1.59986,0.65118,0.97436,0.78502,0.36891,1.92989,1.42598,1.55666,0.0016436,0.0016436,0.0016436
29,303.165,1.21108,0.84443,1.59009,0.66527,0.96832,0.87755,0.41214,2.10469,1.02756,1.71357,0.0016304,0.0016304,0.0016304
30,313.507,1.24716,0.82093,1.57262,0.73036,0.83355,0.91322,0.48243,1.89315,0.90131,1.46381,0.0016172,0.0016172,0.0016172
31,324.047,1.24575,0.80544,1.63071,0.80006,0.82051,0.9169,0.46239,1.98898,0.8658,1.62793,0.001604,0.001604,0.001604
32,334.586,1.27035,0.84518,1.60488,0.76326,0.99214,0.89133,0.43333,1.89886,0.96021,1.5655,0.0015908,0.0015908,0.0015908
33,344.83,1.25311,0.81314,1.6237,0.74841,0.97436,0.8826,0.42089,1.97672,1.06289,1.61559,0.0015776,0.0015776,0.0015776
34,355.32,1.33732,0.83906,1.65623,0.73056,1,0.87126,0.40417,2.12196,0.83786,1.85536,0.0015644,0.0015644,0.0015644
