pier_index,pier_number,number_source,top_elevation,middle_elevation,bottom_elevation,pier_height,embed_depth,span_group,span_length,match_status,status
1,1,sequential_left_to_right,17.847,8.500,-13.600,9.347,22.100,1,2000,local_geometry,local_geometry
2,2,sequential_left_to_right,17.847,10.500,,7.347,,1,2000,local_geometry,local_geometry;missing_or_invalid_middle_bottom
3,3,sequential_left_to_right,17.835,10.500,,7.335,,1,2000,local_geometry,local_geometry;missing_or_invalid_middle_bottom
4,4,sequential_left_to_right,17.847,17.847,-15.000,,32.847,2,2000,local_geometry,local_geometry;missing_or_invalid_top_middle
5,5,sequential_left_to_right,17.847,6.500,-15.000,11.347,21.500,2,2000,local_geometry,local_geometry
6,6,sequential_left_to_right,17.047,6.502,-15.000,10.545,21.502,2,2000,local_geometry,local_geometry
7,7,sequential_left_to_right,17.895,17.895,-16.000,,33.895,2,2000,local_geometry,local_geometry;missing_or_invalid_top_middle
8,8,sequential_left_to_right,17.847,6.500,-15.000,11.347,21.500,3,2000,local_geometry,local_geometry
9,9,sequential_left_to_right,17.847,7.000,-15.000,10.847,22.000,3,2000,local_with_global_repair,local_with_global_repair
10,10,sequential_left_to_right,17.847,8.000,,9.847,,3,2000,local_geometry,local_geometry;missing_or_invalid_middle_bottom
11,11,sequential_left_to_right,17.835,8.000,,9.835,,3,2000,local_geometry,local_geometry;missing_or_invalid_middle_bottom
12,12,sequential_left_to_right,17.847,8.000,,9.847,,4,2000,local_geometry,local_geometry;missing_or_invalid_middle_bottom
13,13,sequential_left_to_right,17.847,10.000,-15.000,7.847,25.000,4,2000,local_geometry,local_geometry
14,14,sequential_left_to_right,17.847,8.000,-15.000,9.847,23.000,4,2000,local_with_global_repair,local_with_global_repair
15,15,sequential_left_to_right,17.095,12.000,-13.000,5.095,25.000,4,2000,local_geometry,local_geometry
16,16,sequential_left_to_right,,,-13.000,,,5,2000,local_geometry,local_geometry;missing_or_invalid_top_middle;missing_or_invalid_middle_bottom
17,17,sequential_left_to_right,17.839,12.000,-13.000,5.839,25.000,5,2000,local_geometry,local_geometry
18,18,sequential_left_to_right,17.824,12.000,-13.000,5.824,25.000,5,2000,local_geometry,local_geometry
19,19,sequential_left_to_right,17.789,12.000,-13.000,5.789,25.000,5,2000,local_geometry,local_geometry
20,20,sequential_left_to_right,17.770,12.000,,5.770,,6,2000,local_geometry,local_geometry;missing_or_invalid_middle_bottom
21,21,sequential_left_to_right,17.731,12.000,,5.731,,6,2000,local_geometry,local_geometry;missing_or_invalid_middle_bottom
22,22,sequential_left_to_right,15.773,74.273,,,,6,2000,local_geometry,local_geometry;missing_or_invalid_top_middle;missing_or_invalid_middle_bottom
