pier_index,pier_number,number_source,top_elevation,middle_elevation,bottom_elevation,pier_height,embed_depth,span_group,span_length,match_status,status
1,1,sequential_left_to_right,17.847,8.500,-16.000,9.347,24.500,1,2000,local_geometry,local_geometry
2,2,sequential_left_to_right,17.847,10.500,-16.000,7.347,26.500,1,2000,local_geometry,local_geometry
3,3,sequential_left_to_right,17.835,10.500,-15.000,7.335,25.500,1,2000,local_geometry,local_geometry
4,4,sequential_left_to_right,17.847,17.847,-15.000,,32.847,2,2000,local_geometry,local_geometry;missing_or_invalid_top_middle
5,5,sequential_left_to_right,17.847,6.500,-15.000,11.347,21.500,2,2000,local_geometry,local_geometry
6,6,sequential_left_to_right,17.847,6.502,-15.000,11.345,21.502,2,2000,local_geometry,local_geometry
7,7,sequential_left_to_right,17.835,17.835,-16.000,,33.835,2,2000,local_geometry,local_geometry;missing_or_invalid_top_middle
8,8,sequential_left_to_right,17.847,6.500,-15.000,11.347,21.500,3,2000,local_geometry,local_geometry
9,9,sequential_left_to_right,17.847,7.002,-16.000,10.845,23.002,3,2000,local_with_global_repair,local_with_global_repair
10,10,sequential_left_to_right,17.840,8.000,-15.000,9.840,23.000,3,2000,local_geometry,local_geometry
11,11,sequential_left_to_right,17.835,8.000,-15.000,9.835,23.000,3,2000,local_geometry,local_geometry
12,12,sequential_left_to_right,17.847,8.000,-15.000,9.847,23.000,4,2000,local_geometry,local_geometry
13,13,sequential_left_to_right,17.847,10.000,-15.000,7.847,25.000,4,2000,local_geometry,local_geometry
14,14,sequential_left_to_right,17.847,8.000,-15.000,9.847,23.000,4,2000,local_geometry,local_geometry
15,15,sequential_left_to_right,17.835,12.000,-13.000,5.835,25.000,4,2000,local_geometry,local_geometry
16,16,sequential_left_to_right,17.846,12.000,-13.000,5.846,25.000,5,2000,local_geometry,local_geometry
17,17,sequential_left_to_right,17.839,12.000,-13.000,5.839,25.000,5,2000,local_geometry,local_geometry
18,18,sequential_left_to_right,17.824,12.000,-13.000,5.824,25.000,5,2000,local_geometry,local_geometry
19,19,sequential_left_to_right,17.789,12.000,-13.000,5.789,25.000,5,2000,local_geometry,local_geometry
20,20,sequential_left_to_right,17.770,12.000,-13.000,5.770,25.000,6,2000,local_with_global_repair,local_with_global_repair
21,21,sequential_left_to_right,17.731,12.000,-13.000,5.731,25.000,6,2000,local_with_global_repair,local_with_global_repair
22,22,sequential_left_to_right,14.273,13.000,-13.000,1.273,26.000,6,2000,local_with_global_repair,local_with_global_repair
