pier_index,pier_number,number_source,top_elevation,middle_elevation,bottom_elevation,pier_height,embed_depth,match_status,status
1,1,ocr,17.847,10.5,-19.5,7.347,30.0,valid_global_constraint,valid_global_constraint
2,2,ocr,17.847,10.5,-19.5,7.347,30.0,valid_global_constraint,valid_global_constraint
3,3,ocr,17.835,10.5,,7.335,,partial_constraint,partial_constraint;missing_or_invalid_middle_bottom
4,4,ocr,17.847,,-15.0,,,partial_constraint,partial_constraint;missing_or_invalid_top_middle;missing_or_invalid_middle_bottom
5,5,ocr,17.847,6.5,-15.0,11.347,21.5,valid_global_constraint,valid_global_constraint
6,6,ocr,17.047,6.502,-15.0,10.545,21.502,valid_global_constraint,valid_global_constraint
7,7,ocr,17.895,,-16.0,,,partial_constraint,partial_constraint;missing_or_invalid_top_middle;missing_or_invalid_middle_bottom
8,8,ocr,17.847,6.5,-15.0,11.347,21.5,valid_global_constraint,valid_global_constraint
9,9,ocr,17.847,7.0,-16.0,10.847,23.0,valid_global_constraint,valid_global_constraint
10,10,left_to_right,17.847,8.0,,9.847,,partial_constraint,partial_constraint;missing_or_invalid_middle_bottom
11,11,left_to_right,17.835,8.0,,9.835,,partial_constraint,partial_constraint;missing_or_invalid_middle_bottom
12,12,left_to_right,17.847,8.0,-18.4,9.847,26.4,valid_global_constraint,valid_global_constraint
13,13,ocr,17.847,10.0,-18.4,7.847,28.4,valid_global_constraint,valid_global_constraint
14,14,left_to_right,17.847,8.0,-15.0,9.847,23.0,valid_global_constraint,valid_global_constraint
15,15,left_to_right,17.095,12.0,-13.0,5.095,25.0,valid_global_constraint,valid_global_constraint
16,16,left_to_right,,,-13.0,,,partial_constraint,partial_constraint;missing_or_invalid_top_middle;missing_or_invalid_middle_bottom
17,17,ocr,17.839,12.0,-13.0,5.839,25.0,valid_global_constraint,valid_global_constraint
18,18,ocr,17.824,12.0,-13.0,5.824,25.0,valid_global_constraint,valid_global_constraint
19,19,ocr,17.789,12.0,-13.0,5.789,25.0,valid_global_constraint,valid_global_constraint
20,2,ocr,17.77,12.0,-13.0,5.77,25.0,valid_global_constraint,valid_global_constraint
21,2,ocr,17.731,12.0,,5.731,,partial_constraint,partial_constraint;missing_or_invalid_middle_bottom
22,26,ocr,15.773,,,,,partial_constraint,partial_constraint;missing_or_invalid_top_middle;missing_or_invalid_middle_bottom
