pier_index,pier_number,number_source,top_elevation,middle_elevation,bottom_elevation,pier_height,embed_depth,status
1,1,ocr,17.847,8.5,-13.6,9.347,22.1,ok
2,2,ocr,17.847,10.5,,7.347,,missing_middle_or_bottom
3,3,ocr,17.835,10.5,,7.335,,missing_middle_or_bottom
4,4,ocr,17.847,17.847,-15.0,0.0,32.847,ok
5,5,ocr,17.847,6.5,-15.0,11.347,21.5,ok
6,6,ocr,17.047,6.502,-15.0,10.545,21.502,ok
7,7,ocr,17.895,17.895,-16.0,0.0,33.895,ok
8,8,ocr,17.847,6.5,-15.0,11.347,21.5,ok
9,9,ocr,7.0,7.0,-15.0,0.0,22.0,ok
10,10,left_to_right,17.847,8.0,,9.847,,missing_middle_or_bottom
11,11,left_to_right,17.835,8.0,,9.835,,missing_middle_or_bottom
12,12,left_to_right,17.847,8.0,,9.847,,missing_middle_or_bottom
13,13,ocr,17.847,10.0,-15.0,7.847,25.0,ok
14,14,left_to_right,17.847,17.847,-15.0,0.0,32.847,ok
15,15,left_to_right,17.095,12.0,-13.0,5.095,25.0,ok
16,16,left_to_right,,,-13.0,,,missing_top_or_middle;missing_middle_or_bottom
17,17,ocr,17.839,12.0,-13.0,5.839,25.0,ok
18,18,ocr,17.824,12.0,-13.0,5.824,25.0,ok
19,19,ocr,17.789,12.0,-13.0,5.789,25.0,ok
20,2,ocr,17.77,12.0,,5.77,,missing_middle_or_bottom
21,2,ocr,17.731,12.0,,5.731,,missing_middle_or_bottom
22,26,ocr,15.773,74.273,,-58.5,,missing_middle_or_bottom
